Gene,Name,average.g
16s,f1_MP,168549948
16s,f2_MP,132128287
16s,f3_MP,196347387
16s,w1_MP,36371697.5
16s,w2_MP,19738075
16s,w3_MP,57088954.2
16s,t1_MP,209315096
16s,t2_MP,111534677
16s,t3_MP,143549594
16s,i1_MP,78978803.8
16s,i2_MP,3347668654
16s,i3_MP,298084172
16s,f1_FM,237530097
16s,f2_FM,282612043
16s,f3_FM,393595408
16s,w1_FM,503710100
16s,w2_FM,121015281
16s,w3_FM,658079146
16s,t1_FM,32490351.5
16s,t2_FM,55837826.5
16s,t3_FM,59442218.8
16s,i1_FM,5.27E+10
16s,i2_FM,4.09E+10
16s,i3_FM,2.30E+10
tet33,f1_MP,2396897.46
tet33,f2_MP,2721732.2
tet33,f3_MP,3034382.76
tet33,w1_MP,2101774.95
tet33,w2_MP,1476497.78
tet33,w3_MP,3022863.31
tet33,t1_MP,8310748.03
tet33,t2_MP,8543645.95
tet33,t3_MP,3768661.5
tet33,i1_MP,6049838.08
tet33,i2_MP,85917731.8
tet33,i3_MP,39017257.3
tet33,f1_FM,9338743.09
tet33,f2_FM,8003803.47
tet33,f3_FM,20185396.1
tet33,w1_FM,21237833.6
tet33,w2_FM,2902716.25
tet33,w3_FM,12502676.1
tet33,t1_FM,2492465.59
tet33,t2_FM,2654023.9
tet33,t3_FM,3924179.15
tet33,i1_FM,991669707
tet33,i2_FM,776329905
tet33,i3_FM,1082377073
tetG,f1_MP,1187737.24
tetG,f2_MP,1248092.04
tetG,f3_MP,1276882.14
tetG,w1_MP,1047558.32
tetG,w2_MP,601523.202
tetG,w3_MP,1231961.08
tetG,t1_MP,2073835.81
tetG,t2_MP,1292378.98
tetG,t3_MP,1593974.29
tetG,i1_MP,2527604.27
tetG,i2_MP,30266862.5
tetG,i3_MP,8688057.89
tetG,f1_FM,2207318.38
tetG,f2_FM,1649153.32
tetG,f3_FM,4312130.07
tetG,w1_FM,4014267.9
tetG,w2_FM,1340448.7
tetG,w3_FM,6013158.33
tetG,t1_FM,767351.254
tetG,t2_FM,745299.923
tetG,t3_FM,1071200.25
tetG,i1_FM,430948192
tetG,i2_FM,408189767
tetG,i3_FM,397699216
tetM,f1_MP,27879026.5
tetM,f2_MP,16159091.4
tetM,f3_MP,16964974.6
tetM,w1_MP,2666459.86
tetM,w2_MP,1698910.9
tetM,w3_MP,6531820.07
tetM,t1_MP,5838604.62
tetM,t2_MP,4051190.28
tetM,t3_MP,7458317.17
tetM,i1_MP,8263923.64
tetM,i2_MP,226262882
tetM,i3_MP,36795649.7
tetM,f1_FM,26364783.8
tetM,f2_FM,19230097.5
tetM,f3_FM,40450435.5
tetM,w1_FM,82846550.7
tetM,w2_FM,21568259.9
tetM,w3_FM,59576923.4
tetM,t1_FM,5183757.54
tetM,t2_FM,4032063
tetM,t3_FM,6694729.27
tetM,i1_FM,3513066814
tetM,i2_FM,2461482108
tetM,i3_FM,1794486684
tetX,f1_MP,670776.411
tetX,f2_MP,659318.424
tetX,f3_MP,633684.58
tetX,w1_MP,185589.311
tetX,w2_MP,102389.127
tetX,w3_MP,308365.867
tetX,t1_MP,865577.274
tetX,t2_MP,568506.836
tetX,t3_MP,824999.437
tetX,i1_MP,2253664.21
tetX,i2_MP,29916084.4
tetX,i3_MP,5685773.24
tetX,f1_FM,1527965.68
tetX,f2_FM,1021962.97
tetX,f3_FM,2322905.46
tetX,w1_FM,4556896.94
tetX,w2_FM,816513.729
tetX,w3_FM,3694921.72
tetX,t1_FM,373146.891
tetX,t2_FM,356810.75
tetX,t3_FM,429888.774
tetX,i1_FM,214824549
tetX,i2_FM,117379667
tetX,i3_FM,138491184
ermB,f1_MP,5956.124538
ermB,f2_MP,3458.339351
ermB,f3_MP,7171.294534
ermB,w1_MP,1838.38358
ermB,w2_MP,1202.497615
ermB,w3_MP,4544.629147
ermB,t1_MP,9186.52035
ermB,t2_MP,9579.889603
ermB,t3_MP,8359.875278
ermB,i1_MP,5357.363612
ermB,i2_MP,335896.1733
ermB,i3_MP,29104.9823
ermB,f1_FM,9192.965372
ermB,f2_FM,10813.10633
ermB,f3_FM,20917.79357
ermB,w1_FM,46341.57032
ermB,w2_FM,2683.368663
ermB,w3_FM,30578.69807
ermB,t1_FM,3044.055036
ermB,t2_FM,4272.58079
ermB,t3_FM,3816.743228
ermB,i1_FM,1481527.79
ermB,i2_FM,2132534.461
ermB,i3_FM,1116071.181
sul1,f1_MP,101146.1935
sul1,f2_MP,60300.77891
sul1,f3_MP,87437.28865
sul1,w1_MP,1655.625595
sul1,w2_MP,4570.444721
sul1,w3_MP,24994.6064
sul1,t1_MP,102879.9854
sul1,t2_MP,55354.46929
sul1,t3_MP,96581.70582
sul1,i1_MP,3716773.508
sul1,i2_MP,3716773.508
sul1,i3_MP,436560.255
sul1,f1_FM,390141.1107
sul1,f2_FM,272079.0135
sul1,f3_FM,658151.8768
sul1,w1_FM,990805.6503
sul1,w2_FM,117037.8047
sul1,w3_FM,461946.051
sul1,t1_FM,93728.93684
sul1,t2_FM,62451.97128
sul1,t3_FM,91897.00126
sul1,i1_FM,109149430.8
sul1,i2_FM,139421592.4
sul1,i3_FM,62869525.56
intI1,f1_MP,4700337.6
intI1,f2_MP,4148096.251
intI1,f3_MP,6651836.203
intI1,w1_MP,1227132.499
intI1,w2_MP,655736.7232
intI1,w3_MP,2546315.33
intI1,t1_MP,5484342.228
intI1,t2_MP,4541869.916
intI1,t3_MP,4863452.169
intI1,i1_MP,4291031.743
intI1,i2_MP,46913477.52
intI1,i3_MP,9953982.93
intI1,f1_FM,7926727.295
intI1,f2_FM,6686713.74
intI1,f3_FM,21819189.57
intI1,w1_FM,24298214.27
intI1,w2_FM,5906801.603
intI1,w3_FM,21864476.44
intI1,t1_FM,3299611.19
intI1,t2_FM,3028780.942
intI1,t3_FM,4524855.187
intI1,i1_FM,1904539342
intI1,i2_FM,1393958697
intI1,i3_FM,1295689710
intI2,f1_MP,76757.47743
intI2,f2_MP,58545.87893
intI2,f3_MP,97140.51347
intI2,w1_MP,5526.434879
intI2,w2_MP,1820.587333
intI2,w3_MP,30164.69703
intI2,t1_MP,176848.444
intI2,t2_MP,94529.48282
intI2,t3_MP,164272.1756
intI2,i1_MP,17836.35266
intI2,i2_MP,2996531.682
intI2,i3_MP,177631.0792
intI2,f1_FM,249113.3758
intI2,f2_FM,241701.2305
intI2,f3_FM,442892.6796
intI2,w1_FM,1623266.948
intI2,w2_FM,293784.1625
intI2,w3_FM,1158959.154
intI2,t1_FM,180898.9346
intI2,t2_FM,105884.1159
intI2,t3_FM,195326.4715
intI2,i1_FM,45144360.58
intI2,i2_FM,901861744.9
intI2,i3_FM,50736552.19
intI3,f1_MP,1840695.957
intI3,f2_MP,1568675.475
intI3,f3_MP,2277103.875
intI3,w1_MP,576442.0577
intI3,w2_MP,341771.2618
intI3,w3_MP,1456000.553
intI3,t1_MP,3969953.129
intI3,t2_MP,3335879.927
intI3,t3_MP,4412691.789
intI3,i1_MP,92700.0199
intI3,i2_MP,52466422.04
intI3,i3_MP,6456701.31
intI3,f1_FM,6894704.982
intI3,f2_FM,5812117.491
intI3,f3_FM,17547636.04
intI3,w1_FM,12449690.6
intI3,w2_FM,6004659.754
intI3,w3_FM,12889974.46
intI3,t1_FM,1354233.764
intI3,t2_FM,1138652.099
intI3,t3_FM,2169830.368
intI3,i1_FM,771471369.4
intI3,i2_FM,713999508.2
intI3,i3_FM,439384873.4